,meanHQ,meanER,Month,BOSCH LTD.HQ,WIPRO LTD.HQ,INFOSYS LTD.HQ,VEDANTA LIMITEDER,JSW STEEL LTD.ER,TITAN COMPANY LIMITEDER,BRITANNIA INDUSTRIES LTD.ER,POWER GRID CORPORATION OF INDIA LTD.ER_x,GODREJ CONSUMER PRODUCTS LTD.ER_x,MAHINDRA & MAHINDRA LTD.ER_x,INDUSIND BANK LTD.ER_x,ULTRATECH CEMENT LTD.ER_x,TATA CONSULTANCY SERVICES LTD.ER_x,RELIANCE INDUSTRIES LTD.ER_x,COAL INDIA LTD.ER_x,POWER GRID CORPORATION OF INDIA LTD.ER_y,GODREJ CONSUMER PRODUCTS LTD.ER_y,MAHINDRA & MAHINDRA LTD.ER_y,INDUSIND BANK LTD.ER_y,ULTRATECH CEMENT LTD.ER_y,TATA CONSULTANCY SERVICES LTD.ER_y,RELIANCE INDUSTRIES LTD.ER_y,COAL INDIA LTD.ER_y,HINDUSTAN UNILEVER LTD.ER,OIL AND NATURAL GAS CORPORATION LTD.ER,DABUR INDIA LTD.ER_x,NTPC LTD.ER,HCL TECHNOLOGIES LTD.ER,HERO MOTOCORP LTD.ER,DABUR INDIA LTD.ER_y,BAJAJ AUTO LTD.ER,HINDUSTAN ZINC LTD.ER
43,5.3358333333333325,3.799457826836658,September-2017,6.88,6.05,1.81,-1.88,2.51,5.5,-3.12,3.53,1.35,6.77,-1.36,3.64,2.39,50.92,-13.7,3.53,1.35,6.77,-1.36,3.64,2.39,50.92,-13.7,3.47,-8.69,3.19,0.86,-1.46,5.43,3.19,-10.67,-0.24
44,-3.205,-6.150644359272056,October-2017,-2.45,-4.64,-2.55,-5.72,-3.83,-8.86,-7.03,-1.0,-2.04,-7.28,3.1,-14.24,-7.36,-20.28,-5.82,-1.0,-2.04,-7.28,3.1,-14.24,-7.36,-20.28,-5.82,-5.25,-11.98,-9.2,-7.92,2.17,-1.95,-9.2,-4.89,-6.64
45,0.17583333333333329,-0.38747387296115926,November-2017,3.29,0.75,-5.78,10.88,1.3,-29.13,-2.87,3.2,-2.89,-4.87,-2.12,4.32,-0.69,1.93,3.54,3.2,-2.89,-4.87,-2.12,4.32,-0.69,1.93,3.54,-2.98,5.52,-4.11,-0.22,0.89,5.51,-4.11,-1.59,5.01
46,-3.658333333333333,0.861625377522422,December-2017,1.1,-7.4,-6.6,-11.48,-5.97,-4.51,1.4,2.72,-3.93,46.75,0.68,-2.61,-2.51,0.17,4.78,2.72,-3.93,46.75,0.68,-2.61,-2.51,0.17,4.78,-7.41,-7.81,-0.52,2.05,-5.04,-3.95,-0.52,-0.35,-3.12
47,-0.17250000000000032,-3.5555463191484464,January-2018,3.78,2.79,-10.71,-2.96,-7.58,-1.52,0.92,3.42,-5.4,-1.65,-6.3,-1.37,-15.23,-4.35,-13.54,3.42,-5.4,-1.65,-6.3,-1.37,-15.23,-4.35,-13.54,-0.11,-4.47,-1.65,3.92,-10.67,2.5,-1.65,-0.47,-0.34
48,2.1925,1.9666770828130804,February-2018,3.38,3.89,-2.05,2.96,-7.57,6.11,-6.68,-2.56,-1.44,4.55,4.24,5.16,2.36,0.91,-3.67,-2.56,-1.44,4.55,4.24,5.16,2.36,0.91,-3.67,3.89,7.3,8.27,4.11,4.6,2.47,8.27,9.58,-5.13
49,3.3741666666666665,2.201878683294955,March-2018,2.96,3.88,3.39,15.53,7.71,-15.35,0.27,2.32,-2.27,-1.57,-6.89,4.96,6.22,7.31,8.42,2.32,-2.27,-1.57,-6.89,4.96,6.22,7.31,8.42,-1.49,5.68,-0.6,-3.95,-3.11,1.53,-0.6,8.94,7.67
50,-4.020833333333333,-7.968469249967646,April-2018,-6.98,0.96,-5.73,-7.26,-12.88,-4.23,-10.77,-7.12,-2.21,-17.89,-5.71,-4.11,-23.94,-9.1,-0.12,-7.12,-2.21,-17.89,-5.71,-4.11,-23.94,-9.1,-0.12,-12.96,-1.52,-13.06,-1.38,-8.45,-5.31,-13.06,-7.24,-8.69
51,3.7524999999999995,4.547325891552511,May-2018,5.8,6.04,-2.71,16.48,-2.21,8.12,-7.7,-0.63,-2.24,-5.83,-2.62,9.13,50.59,4.34,-3.75,-0.63,-2.24,-5.83,-2.62,9.13,50.59,4.34,-3.75,-6.93,1.75,-3.8,2.96,13.39,4.99,-3.8,6.64,9.46
52,0.3391666666666666,0.7886956440479562,June-2018,4.31,0.19,-6.08,5.44,1.73,2.5,-4.48,10.67,-7.27,2.89,0.45,-1.8,-5.87,-5.61,10.22,10.67,-7.27,2.89,0.45,-1.8,-5.87,-5.61,10.22,-1.75,10.8,-1.86,4.49,-1.79,2.12,-1.86,-2.14,6.89
53,-5.961666666666667,-4.346134152007844,July-2018,-6.92,-5.89,-4.46,5.73,-1.01,-3.6,-5.38,2.38,-7.65,-4.14,-2.84,-10.2,-5.09,-21.88,1.02,2.38,-7.65,-4.14,-2.84,-10.2,-5.09,-21.88,1.02,-5.47,-4.61,-7.51,2.7,-4.09,5.13,-7.51,3.93,-1.61
54,-11.711666666666668,-6.8257067242856575,August-2018,-17.63,-8.98,-5.49,-2.23,-20.19,2.17,-3.11,-10.1,-9.75,-3.36,4.54,-6.69,-7.05,-4.65,-9.32,-10.1,-9.75,-3.36,4.54,-6.69,-7.05,-4.65,-9.32,-2.83,-8.73,-13.98,-10.12,-8.46,1.24,-13.98,-1.69,-6.76
55,13.994166666666668,9.304380542190076,September-2018,9.9,-7.48,49.45,-2.0,4.07,9.57,13.85,6.06,46.91,10.83,11.39,9.27,-5.12,-1.39,6.73,6.06,46.91,10.83,11.39,9.27,-5.12,-1.39,6.73,9.71,1.5,10.73,2.49,-3.98,9.87,10.73,2.16,2.92
56,0.605,6.976853962898604,October-2018,-0.18,-2.25,5.72,8.85,11.02,-4.79,2.87,1.46,5.71,11.31,15.57,13.73,11.3,15.64,0.26,1.46,5.71,11.31,15.57,13.73,11.3,15.64,0.26,-0.63,13.6,9.87,4.08,3.43,5.69,9.87,3.56,9.02
57,3.381666666666667,-0.7588666282607525,November-2018,4.78,2.01,2.88,7.31,7.06,-9.67,43.93,3.02,-3.59,-3.52,-14.54,-14.12,-1.7,-10.06,8.21,3.02,-3.59,-3.52,-14.54,-14.12,-1.7,-10.06,8.21,-8.39,8.46,-6.54,12.42,3.46,-10.6,-6.54,-5.61,-0.79
58,-1.8866666666666667,-1.580776079579567,December-2018,-3.8,-1.66,1.0,-3.35,2.64,-0.46,1.29,-10.49,-8.42,-1.71,1.99,-0.25,3.91,4.04,1.45,-10.49,-8.42,-1.71,1.99,-0.25,3.91,4.04,1.45,-3.68,-7.13,-4.97,-6.22,5.11,-1.55,-4.97,0.67,-4.32
59,-5.644166666666667,2.8057462407402296,January-2019,4.07,-11.82,-13.6,2.4,10.33,-7.04,-2.49,5.2,12.86,15.29,5.88,12.04,-6.39,-9.46,6.48,5.2,12.86,15.29,5.88,12.04,-6.39,-9.46,6.48,3.07,5.66,-2.84,5.89,-4.43,15.89,-2.84,6.08,6.21
60,0.06333333333333335,0.07630107056183622,February-2019,-0.95,-0.19,2.09,14.23,-2.35,-3.17,4.26,3.23,5.15,5.03,2.13,-8.72,1.51,-0.36,-1.42,3.23,5.15,5.03,2.13,-8.72,1.51,-0.36,-1.42,1.75,-5.01,1.07,-1.18,-4.78,-0.88,1.07,-13.44,-3.28
61,12.181666666666667,-0.4322309078360267,March-2019,2.94,30.68,2.92,-1.74,-2.06,-2.6,-0.13,-2.49,-5.23,-3.62,-3.08,-3.66,-1.92,-2.85,-2.69,-2.49,-5.23,-3.62,-3.08,-3.66,-1.92,-2.85,-2.69,1.75,-0.87,1.37,-7.63,4.25,-4.31,1.37,-2.05,0.78
